1	3	5
1	4	13
1	5	2
1	6	4
1	7	4
1	8	1
1	9	2
1	10	9
1	11	3
1	12	9
1	13	6
1	14	5
1	15	8
1	16	2
1	17	1
1	18	5
1	19	1
1	20	6
1	21	2
1	22	5
1	24	1
1	25	3
1	26	4
1	27	2
1	28	3
1	29	2
1	30	6
1	31	1
1	32	4
1	33	1
1	34	1
1	35	3
1	36	1
1	38	7
1	40	5
1	42	1
1	44	3
1	45	3
1	46	1
1	47	2
1	48	1
1	50	2
2	3	4
2	5	1
2	6	1
2	7	2
2	8	8
2	9	1
2	11	3
2	14	3
2	16	6
2	17	5
2	19	6
2	20	3
2	22	3
2	23	1
2	24	3
2	26	1
2	27	1
2	28	1
2	29	3
2	32	2
2	33	2
2	34	1
2	39	2
2	40	1
2	42	8
2	43	1
2	44	1
2	46	2
2	47	2
2	48	3
2	49	1
3	4	3
3	5	1
3	6	2
3	7	2
3	9	5
3	11	6
3	13	5
3	16	3
3	17	1
3	19	1
3	20	2
3	21	3
3	22	2
3	24	1
3	25	3
3	26	2
3	27	3
3	28	2
3	29	1
3	32	1
3	33	2
3	34	2
3	35	2
3	36	1
3	37	1
3	41	1
3	44	1
3	47	1
3	49	1
3	50	3
4	5	4
4	6	3
4	7	4
4	8	1
4	9	8
4	10	1
4	12	4
4	13	2
4	14	2
4	15	2
4	18	2
4	19	1
4	20	1
4	21	1
4	22	1
4	23	1
4	25	1
4	26	3
4	29	2
4	31	2
4	32	1
4	34	2
4	35	2
4	36	1
4	37	2
4	38	3
4	40	1
4	41	1
4	43	3
4	44	2
4	45	4
4	46	1
4	49	2
4	50	5
5	6	4
5	8	2
5	9	2
5	13	1
5	14	1
5	15	4
5	17	3
5	19	4
5	20	2
5	21	1
5	24	2
5	26	1
5	29	1
5	30	2
5	32	1
5	33	1
5	34	4
5	35	1
5	37	3
5	39	1
5	40	1
5	42	1
5	47	2
5	48	1
5	49	1
5	50	4
6	7	6
6	8	1
6	9	1
6	10	1
6	11	2
6	12	4
6	13	4
6	14	3
6	17	7
6	18	2
6	20	2
6	22	1
6	23	2
6	24	1
6	25	2
6	26	2
6	27	5
6	28	2
6	30	1
6	31	3
6	32	1
6	33	3
6	34	1
6	35	2
6	36	1
6	37	1
6	38	1
6	40	3
6	41	1
6	43	4
6	45	2
6	47	4
7	9	4
7	14	1
7	17	3
7	19	2
7	20	4
7	21	5
7	22	2
7	24	1
7	26	2
7	27	1
7	28	1
7	29	1
7	30	1
7	32	1
7	33	1
7	35	3
7	37	2
7	38	2
7	40	1
7	41	1
7	43	2
7	44	2
7	47	1
7	48	1
7	50	1
8	10	5
8	12	1
8	14	1
8	15	2
8	16	6
8	17	2
8	19	6
8	20	2
8	21	2
8	22	1
8	23	1
8	24	4
8	26	2
8	29	3
8	30	1
8	33	2
8	34	1
8	36	1
8	42	1
8	43	2
8	46	1
8	48	2
8	49	1
8	50	1
9	11	15
9	12	2
9	13	5
9	21	1
9	24	2
9	25	2
9	28	1
9	29	2
9	31	1
9	34	2
9	37	9
9	40	1
9	43	1
9	47	1
9	49	1
9	50	1
10	13	2
10	15	13
10	17	2
10	18	6
10	19	1
10	20	1
10	22	3
10	24	3
10	25	1
10	28	3
10	30	6
10	32	1
10	34	2
10	37	1
10	40	1
10	44	2
10	45	1
10	47	1
10	48	3
10	49	1
11	12	4
11	13	7
11	20	1
11	22	1
11	24	1
11	27	1
11	28	1
11	29	2
11	31	1
11	33	3
11	34	1
11	37	1
11	41	1
11	45	2
12	13	3
12	14	1
12	16	1
12	21	1
12	22	1
12	23	1
12	24	1
12	25	1
12	26	2
12	27	3
12	29	1
12	32	1
12	35	1
12	36	2
12	37	2
12	43	2
12	46	2
12	47	1
12	49	2
12	50	1
13	15	1
13	20	1
13	22	1
13	23	2
13	24	1
13	28	2
13	31	1
13	32	1
13	35	1
13	41	2
13	45	3
13	50	2
14	16	2
14	17	2
14	18	1
14	20	1
14	22	1
14	23	1
14	24	1
14	27	1
14	29	2
14	31	1
14	34	2
14	37	2
14	39	1
14	43	3
14	47	2
14	48	1
14	50	1
15	18	3
15	19	1
15	20	1
15	21	1
15	22	1
15	23	1
15	25	3
15	26	2
15	30	2
15	32	1
15	34	1
15	40	1
15	41	1
15	44	2
15	46	1
15	47	1
15	48	1
15	50	1
16	17	1
16	18	1
16	19	1
16	20	1
16	21	1
16	26	1
16	32	1
16	34	2
16	36	3
16	40	1
16	42	5
16	43	1
16	46	2
16	48	3
16	49	1
16	50	1
17	18	1
17	20	3
17	25	1
17	26	1
17	27	1
17	29	1
17	32	1
17	33	1
17	34	1
17	35	1
17	36	1
17	39	1
17	40	1
17	43	3
17	47	2
17	48	1
17	49	1
17	50	1
18	19	2
18	27	1
18	30	3
18	32	1
18	34	1
18	38	2
18	43	1
18	47	1
18	48	1
19	21	1
19	25	1
19	26	1
19	27	1
19	29	1
19	30	1
19	32	1
19	33	1
19	34	1
19	37	1
19	38	1
19	39	1
19	40	1
19	42	2
20	21	1
20	27	1
20	29	1
20	32	1
20	33	1
20	36	2
20	37	1
20	39	1
20	41	2
20	43	3
21	22	1
21	23	2
21	24	2
21	26	2
21	29	8
21	31	3
21	32	1
21	34	2
21	35	1
21	36	1
21	41	1
21	43	1
21	44	1
21	46	1
21	49	1
21	50	2
22	23	2
22	24	5
22	29	1
22	30	1
22	31	1
22	32	2
22	34	1
22	40	1
22	43	1
22	50	1
23	24	3
23	29	1
23	32	1
23	35	4
23	36	1
23	41	5
24	29	1
24	30	1
24	34	1
24	35	1
24	39	1
24	40	2
24	41	2
24	42	3
24	49	1
24	50	1
25	26	2
25	28	1
25	34	1
25	37	1
25	38	1
25	40	2
25	47	1
25	48	1
26	27	1
26	30	1
26	34	1
26	35	1
26	39	1
26	47	3
26	49	2
26	50	1
27	28	1
27	29	1
27	30	1
27	32	1
27	33	5
27	35	2
27	38	1
27	46	5
27	49	1
28	33	1
28	37	1
28	42	1
28	45	4
28	48	2
28	49	1
28	50	1
29	31	1
29	33	1
29	40	1
29	42	1
29	43	2
29	46	1
30	33	1
30	36	1
30	40	1
30	48	1
30	50	1
31	32	1
31	33	1
31	34	1
31	41	2
32	33	1
32	36	4
32	38	1
32	39	1
32	43	2
32	44	1
32	46	1
33	34	1
33	36	1
33	37	1
34	35	1
34	36	1
34	37	3
34	38	1
34	43	1
34	47	1
35	39	1
35	45	1
35	49	1
36	41	7
36	44	1
37	40	2
37	43	1
37	47	1
37	50	1
38	40	3
38	45	1
38	48	2
39	42	4
40	42	1
40	47	4
40	48	1
41	44	1
42	47	1
42	48	1
42	50	1
43	47	1
43	49	1
44	50	1
45	49	1
45	50	1
47	48	1
