1	2	3
1	4	6
1	6	1
1	8	5
1	9	1
1	10	1
1	11	1
1	14	1
1	16	3
1	17	1
1	18	3
1	19	3
1	20	1
1	22	1
1	23	4
1	24	2
1	25	2
1	27	1
1	28	1
1	30	1
1	31	5
1	32	1
1	33	1
1	35	2
1	36	3
1	38	3
1	39	1
1	40	1
1	43	2
1	44	2
1	45	2
1	46	1
1	49	1
1	50	1
2	4	5
2	8	1
2	11	3
2	16	2
2	17	1
2	18	3
2	19	4
2	20	3
2	21	1
2	25	2
2	28	1
2	29	2
2	33	2
2	34	1
2	36	1
2	38	1
2	41	2
2	45	2
2	47	4
2	48	1
3	5	1
3	7	5
3	9	2
3	10	6
3	12	1
3	14	1
3	15	1
3	17	3
3	18	1
3	21	5
3	22	1
3	23	1
3	27	1
3	32	2
3	33	1
3	35	1
3	45	2
3	46	2
3	47	1
3	48	2
4	5	2
4	6	2
4	8	1
4	9	2
4	13	2
4	16	1
4	19	1
4	20	3
4	23	1
4	24	1
4	25	1
4	26	1
4	34	2
4	35	2
4	40	2
4	41	2
4	42	1
4	48	1
4	49	1
4	50	1
5	7	1
5	8	1
5	10	1
5	11	2
5	15	1
5	20	1
5	21	3
5	27	1
5	28	1
5	32	1
5	40	2
5	41	2
5	44	1
5	45	1
6	8	1
6	11	3
6	12	1
6	13	1
6	15	1
6	20	1
6	23	1
6	24	2
6	28	1
6	29	1
6	30	3
6	32	1
6	33	1
6	35	2
6	36	1
6	38	1
6	41	1
6	43	2
6	44	1
6	46	1
7	8	1
7	9	1
7	10	1
7	16	1
7	17	2
7	20	1
7	21	3
7	23	1
7	24	1
7	25	1
7	27	1
7	29	1
7	36	1
7	39	1
7	44	1
8	9	1
8	11	1
8	14	2
8	16	1
8	18	1
8	19	1
8	27	4
8	28	1
8	34	2
8	36	1
8	37	2
8	42	2
8	47	1
8	48	1
9	12	1
9	17	1
9	26	1
9	28	1
9	31	1
9	34	2
9	36	1
9	46	1
9	48	1
10	17	3
10	20	1
10	21	2
10	32	2
10	33	1
10	35	1
10	36	1
10	39	2
10	48	1
11	12	2
11	13	1
11	19	2
11	23	1
11	24	1
11	27	4
11	29	1
11	31	1
11	32	1
11	33	1
11	34	3
11	35	1
11	36	2
11	39	1
11	43	1
11	47	2
12	14	1
12	15	1
12	21	1
12	22	4
12	24	1
12	27	1
12	28	1
12	29	3
12	31	1
12	36	1
12	39	1
12	48	1
13	18	5
13	19	3
13	41	3
13	49	1
14	17	2
14	21	2
14	22	5
14	28	1
14	47	1
15	20	1
15	24	1
15	27	1
15	29	1
15	30	2
15	35	1
15	37	1
15	40	1
15	43	1
15	44	1
15	45	1
15	48	1
16	23	2
16	25	6
16	33	2
16	39	2
16	40	1
16	43	1
16	44	4
16	45	1
16	46	1
17	20	1
17	21	1
17	22	2
17	30	1
17	35	1
17	37	2
17	46	1
17	47	1
18	19	2
18	29	1
18	31	1
18	41	1
18	42	1
18	43	1
18	47	1
18	48	1
19	23	1
19	25	1
19	26	1
19	32	1
19	33	2
19	36	1
19	42	2
20	23	1
20	24	1
20	25	1
20	27	1
20	28	2
20	30	2
20	32	1
20	33	1
20	41	1
21	28	1
21	29	1
21	40	1
21	48	1
22	31	1
23	25	1
23	30	1
23	32	3
23	34	1
23	36	1
23	39	1
23	40	1
23	45	1
23	49	1
23	50	1
24	27	1
24	30	2
24	31	2
25	28	1
25	39	2
25	44	2
25	45	1
25	49	1
26	28	3
26	30	1
26	32	3
26	42	2
26	48	1
26	50	6
27	29	1
27	34	1
27	37	1
27	48	1
28	29	1
28	33	1
28	50	1
29	33	1
29	39	1
29	47	1
29	48	1
30	31	1
30	32	2
30	37	1
30	42	1
30	44	1
30	49	1
31	37	1
32	42	2
32	49	1
32	50	1
33	35	1
33	36	1
33	39	1
34	47	1
34	48	1
35	36	1
35	37	2
35	43	1
36	43	1
37	40	1
37	42	2
38	40	1
38	43	1
38	46	2
38	49	2
39	47	1
40	41	2
41	49	1
42	50	1
43	49	2
45	50	1
47	48	1
48	50	1
