1	3	6
1	4	17
1	5	2
1	6	4
1	7	1
1	8	19
1	10	6
1	11	6
1	12	15
1	14	3
1	15	14
1	17	1
1	19	2
1	20	3
1	21	4
1	22	4
1	24	4
1	25	1
1	26	4
1	27	1
1	28	5
1	30	3
1	31	6
1	32	4
1	33	9
1	35	2
1	36	8
1	37	2
1	38	1
1	41	7
1	42	6
1	43	3
1	44	3
1	45	3
1	47	2
1	49	3
1	50	2
2	4	1
2	5	2
2	10	1
2	11	12
2	13	3
2	16	2
2	17	1
2	18	1
2	19	2
2	21	6
2	22	1
2	23	2
2	24	4
2	25	10
2	27	2
2	32	2
2	33	2
2	37	1
2	39	11
2	40	1
2	42	2
2	45	4
2	46	1
2	49	1
2	50	1
3	4	3
3	8	2
3	10	5
3	11	1
3	12	4
3	14	1
3	15	1
3	18	2
3	19	1
3	20	4
3	22	1
3	23	2
3	24	1
3	26	1
3	27	1
3	28	1
3	31	3
3	33	1
3	36	1
3	37	3
3	38	1
3	41	4
3	43	2
3	44	1
3	45	2
3	47	11
3	49	1
3	50	1
4	6	4
4	7	1
4	8	3
4	9	3
4	10	1
4	12	7
4	14	1
4	15	1
4	16	1
4	18	2
4	19	1
4	20	1
4	21	2
4	22	5
4	23	4
4	24	1
4	26	3
4	28	1
4	29	2
4	30	3
4	31	3
4	34	1
4	35	1
4	36	1
4	38	1
4	41	3
4	42	5
4	43	2
4	44	2
4	49	1
5	6	2
5	8	2
5	10	1
5	11	1
5	12	1
5	13	7
5	14	2
5	17	5
5	23	1
5	24	1
5	25	4
5	26	1
5	27	2
5	28	1
5	29	2
5	31	2
5	33	1
5	35	2
5	37	1
5	39	3
5	40	3
5	42	3
5	43	1
5	46	1
5	48	1
5	50	2
6	7	2
6	8	1
6	9	2
6	10	2
6	12	1
6	14	2
6	15	1
6	16	2
6	17	1
6	19	1
6	21	2
6	23	2
6	24	3
6	26	1
6	27	2
6	29	1
6	30	3
6	32	1
6	33	2
6	34	1
6	35	1
6	38	3
6	40	1
6	41	2
6	44	1
6	48	2
6	49	2
6	50	1
7	11	1
7	12	1
7	14	5
7	15	1
7	21	1
7	26	1
7	27	2
7	28	4
7	30	3
7	32	1
7	35	2
7	38	3
7	40	3
7	42	1
7	45	1
7	46	1
7	47	1
7	50	1
8	9	2
8	10	1
8	12	3
8	15	4
8	16	1
8	21	2
8	22	1
8	28	1
8	30	1
8	31	2
8	32	2
8	33	1
8	34	3
8	36	2
8	37	2
8	41	1
8	43	1
8	49	2
8	50	1
9	11	1
9	16	1
9	17	2
9	18	5
9	19	1
9	20	1
9	21	1
9	22	2
9	23	4
9	24	2
9	25	1
9	30	1
9	32	2
9	33	1
9	34	1
9	37	1
9	40	1
9	46	5
9	48	1
9	50	1
10	12	2
10	16	3
10	20	1
10	21	1
10	28	2
10	29	1
10	31	2
10	33	3
10	34	1
10	35	3
10	36	1
10	37	1
10	43	1
10	44	1
10	45	2
10	47	1
10	48	2
10	49	1
10	50	1
11	12	1
11	13	1
11	14	2
11	15	2
11	17	3
11	18	3
11	19	1
11	22	1
11	23	2
11	25	5
11	26	1
11	27	1
11	29	1
11	30	2
11	31	2
11	32	1
11	34	2
11	35	1
11	36	1
11	38	1
11	39	5
11	40	1
11	43	1
11	44	1
11	46	1
11	50	1
12	15	3
12	17	1
12	18	1
12	20	4
12	21	2
12	22	2
12	26	2
12	27	1
12	30	1
12	31	2
12	34	1
12	35	1
12	36	1
12	37	3
12	40	1
12	41	1
12	43	2
12	48	1
12	49	2
13	19	1
13	22	1
13	25	7
13	26	1
13	27	1
13	30	1
13	32	2
13	38	1
13	39	2
13	42	2
13	45	1
14	17	1
14	19	2
14	20	1
14	21	1
14	23	1
14	24	3
14	27	1
14	28	5
14	30	1
14	32	1
14	33	1
14	37	1
14	38	3
14	41	1
14	44	2
15	19	2
15	20	1
15	21	2
15	22	1
15	24	1
15	26	1
15	30	1
15	31	2
15	34	3
15	36	1
15	41	1
15	45	2
15	49	3
16	19	2
16	20	2
16	22	2
16	28	1
16	29	1
16	30	1
16	31	2
16	35	1
16	37	3
16	38	3
16	47	2
16	48	1
17	18	1
17	21	4
17	22	2
17	23	3
17	25	2
17	27	1
17	31	1
17	33	2
17	35	4
17	40	2
17	42	1
17	46	3
17	50	1
18	20	1
18	22	1
18	23	7
18	24	1
18	28	1
18	31	1
18	32	1
18	36	2
18	39	1
18	46	1
18	47	1
19	26	3
19	31	1
19	34	1
19	38	1
19	44	2
19	45	2
19	47	3
20	23	1
20	26	1
20	27	2
20	28	1
20	29	1
20	30	7
20	31	1
20	34	1
20	35	1
20	37	7
20	41	1
20	44	1
20	48	1
21	22	1
21	24	1
21	25	1
21	29	1
21	30	1
21	31	1
21	36	2
21	39	1
21	40	2
21	41	1
21	42	1
21	44	3
21	46	1
21	49	1
22	24	1
22	26	1
22	29	1
22	30	2
22	32	2
22	34	2
22	35	1
22	36	1
22	41	4
22	42	1
22	43	2
22	44	1
22	46	1
22	49	1
22	50	3
23	25	1
23	27	1
23	32	1
23	35	2
23	37	1
23	43	1
23	45	1
23	48	1
23	49	1
24	25	2
24	27	1
24	28	5
24	30	1
24	31	2
24	33	3
24	38	1
24	39	1
24	41	1
24	45	1
24	50	1
25	27	1
25	30	2
25	37	1
25	39	6
25	42	1
25	44	1
26	37	2
26	38	2
26	47	1
26	49	1
27	28	1
27	29	1
27	30	2
27	32	1
27	36	1
27	41	2
27	43	1
28	30	1
28	32	1
28	37	1
28	42	1
28	43	2
28	44	3
28	45	1
28	47	2
28	50	2
29	30	2
29	31	1
29	32	2
29	37	3
29	40	2
29	41	1
29	43	1
29	49	1
30	34	1
30	35	1
30	36	1
30	37	3
30	38	1
30	40	2
30	41	1
30	42	1
30	44	2
30	45	1
30	48	1
30	50	1
31	33	1
31	34	1
31	35	1
31	37	1
31	41	1
31	43	1
31	46	1
31	47	2
31	49	1
32	36	1
32	42	1
32	44	1
32	50	1
33	34	1
33	35	3
33	40	1
33	43	1
33	44	1
33	47	1
33	50	1
35	37	1
35	40	1
35	42	1
35	47	1
35	48	5
35	50	1
36	37	1
36	42	1
37	48	1
37	49	2
38	45	1
38	46	1
38	48	1
38	49	1
38	50	1
39	42	1
40	42	1
41	42	1
41	43	3
41	47	1
41	50	1
42	44	2
42	50	1
43	44	1
43	50	2
44	47	1
44	50	2
45	47	2
46	48	1
47	49	1
